id,cond,llm,n_annot,consistency,coherence,originality,surprisingness,enjoyment,quality,coherence_comp,creativity_comp,attract_comp,overall,n_words,n_sentences,mean_word_length,mean_sentence_length,ttr,hapax_ratio,comma_density,flesch_approx,adjacent_sentence_similarity,semantic_distinctiveness,s_novelty,s_transience,s_resonance,ntr_unit,n_units_total,n_units_used
conv_a04661581cc44199925519416c49193a,LLM-LLM,2,0,,,,,,,,,,,510.0,36.0,4.449019607843137,14.166666666666666,0.5352941176470588,0.3784313725490196,82.3529411764706,73.84995098039218,0.0668003851069307,0.5866209745757265,-4.696393015032465,-1.4352276359092109,-3.261165379123254,sentence,46,44
conv_a5f55403da744ff0b966103e3911c44e,LLM-LLM,2,0,,,,,,,,,,,589.0,34.0,4.709677419354839,17.323529411764707,0.5195246179966044,0.3803056027164685,74.70288624787776,62.71070083890942,0.0401172422124506,0.5028375504082707,-3.603770888212955,-0.6750523791168676,-2.928718509096088,sentence,35,33
conv_a731e4cc684f448587f5085e647f5953,LLM-LLM,2,0,,,,,,,,,,,531.0,29.0,4.894538606403013,18.310344827586206,0.5706214689265536,0.4274952919020716,86.62900188323917,61.11101694915256,0.0466134140260378,0.6756184021502176,-3.774813184031734,-0.90412230403335,-2.8706908799983837,sentence,29,27
conv_ad879cff91254437a5153d2400ed3f5d,LLM-LLM,2,0,,,,,,,,,,,598.0,28.0,4.590301003344481,21.357142857142858,0.5100334448160535,0.3929765886287625,83.61204013377926,58.823386287625425,0.0860831357923583,0.5185098466619641,-3.1127067006060054,-1.094925374857017,-2.0177813257489885,sentence,30,28
conv_adc796acd32f4433993539115159236a,LLM-LLM,2,0,,,,,,,,,,,509.0,29.0,4.618860510805501,17.551724137931036,0.5579567779960707,0.3988212180746562,84.47937131630648,68.02039292730846,0.0538287592924459,0.4874281167160481,-4.3269018588527555,-1.5297029652903158,-2.79719889356244,sentence,33,31
conv_baa66c4dc3ff4e6f8b91aa3bf55cbea2,LLM-LLM,2,0,,,,,,,,,,,599.0,29.0,4.709515859766277,20.655172413793103,0.5125208681135225,0.4106844741235392,75.12520868113523,57.76949916527548,0.0875266975873217,0.5725000399454696,-2.9636016653643713,-0.591148790385988,-2.3724528749783835,sentence,29,27
conv_bd42668068fc4f41a9b41e52a30aa976,LLM-LLM,2,0,,,,,,,,,,,522.0,28.0,4.837164750957855,18.642857142857142,0.6187739463601533,0.4865900383141762,84.29118773946361,62.79525862068968,0.0315582232084262,0.6025886310862429,-3.757549456187657,-0.7513989167554038,-3.006150539432253,sentence,30,28
conv_bd574adf4c144554bf5dde1263f1bb0d,LLM-LLM,2,0,,,,,,,,,,,555.0,34.0,4.578378378378378,16.323529411764707,0.5423423423423424,0.418018018018018,93.69369369369367,67.8633744038156,0.0625349076013789,0.5866209745757265,-3.992990505050968,-1.1479183677080516,-2.845072137342917,sentence,39,37
conv_bfba8b3e334542f08bee905a2934a25e,LLM-LLM,2,0,,,,,,,,,,,563.0,29.0,4.4031971580817055,19.41379310344828,0.5612788632326821,0.433392539964476,90.5861456483126,69.92218472468916,0.0577926504334593,0.6643750705251428,-3.4361744338068467,-0.7762862156177389,-2.659888218189108,sentence,31,29
conv_bfdccaa2af5e42afa662d355a9f25723,LLM-LLM,2,0,,,,,,,,,,,589.0,4.0,4.5857385398981325,147.25,0.4142614601018676,0.297113752122241,105.26315789473684,-70.31373302207126,0.3265463791671188,0.4536087823507191,-1.3284430503845217,-0.3280579447746277,-1.0003851056098938,sentence,4,2
