story_id,lag,mean_sim,n_pairs
K6nustVFF5ei8GiBLmiZ,10,0.5889000436291099,32
K6nustVFF5ei8GiBLmiZ,11,0.5809829119713076,31
K6nustVFF5ei8GiBLmiZ,12,0.5892318824927012,30
K6nustVFF5ei8GiBLmiZ,13,0.583123505115509,29
K6nustVFF5ei8GiBLmiZ,14,0.5749423897692135,28
K6nustVFF5ei8GiBLmiZ,15,0.5889777607387967,27
K6nustVFF5ei8GiBLmiZ,16,0.5764832978065197,26
K6nustVFF5ei8GiBLmiZ,17,0.5664886260032653,25
K6nustVFF5ei8GiBLmiZ,18,0.5659289384881655,24
K6nustVFF5ei8GiBLmiZ,19,0.5762965173824973,23
K6nustVFF5ei8GiBLmiZ,20,0.5777485153891824,22
K6nustVFF5ei8GiBLmiZ,21,0.608226185753232,21
NSZE9lXnuxIl0ZT4gRoy,1,0.6598494648933411,34
NSZE9lXnuxIl0ZT4gRoy,2,0.6426420898148508,33
NSZE9lXnuxIl0ZT4gRoy,3,0.6358377858996391,32
NSZE9lXnuxIl0ZT4gRoy,4,0.6322770945487484,31
NSZE9lXnuxIl0ZT4gRoy,5,0.6169074515501658,30
NSZE9lXnuxIl0ZT4gRoy,6,0.6064563085292948,29
NSZE9lXnuxIl0ZT4gRoy,7,0.6134575945990426,28
NSZE9lXnuxIl0ZT4gRoy,8,0.6187120918874387,27
NSZE9lXnuxIl0ZT4gRoy,9,0.6042894010360425,26
NSZE9lXnuxIl0ZT4gRoy,10,0.6080778181552887,25
NSZE9lXnuxIl0ZT4gRoy,11,0.6166980502506098,24
NSZE9lXnuxIl0ZT4gRoy,12,0.6157443976920584,23
NSZE9lXnuxIl0ZT4gRoy,13,0.6011756360530853,22
NSZE9lXnuxIl0ZT4gRoy,14,0.618901062579382,21
NSZE9lXnuxIl0ZT4gRoy,15,0.5950737953186035,20
NSZE9lXnuxIl0ZT4gRoy,16,0.6033696798901809,19
NSZE9lXnuxIl0ZT4gRoy,17,0.6013473818699518,18
OdyHy12i4PsBZkM4jjdC,1,0.5881194569170475,40
OdyHy12i4PsBZkM4jjdC,2,0.5806385454459068,39
OdyHy12i4PsBZkM4jjdC,3,0.5714321787420072,38
OdyHy12i4PsBZkM4jjdC,4,0.5619415834143355,37
OdyHy12i4PsBZkM4jjdC,5,0.5603084514538447,36
OdyHy12i4PsBZkM4jjdC,6,0.5641272195747921,35
OdyHy12i4PsBZkM4jjdC,7,0.566238150877111,34
OdyHy12i4PsBZkM4jjdC,8,0.5531882481141523,33
OdyHy12i4PsBZkM4jjdC,9,0.5502252029255033,32
OdyHy12i4PsBZkM4jjdC,10,0.5349521608121933,31
OdyHy12i4PsBZkM4jjdC,11,0.5638036410013835,30
OdyHy12i4PsBZkM4jjdC,12,0.5600081271138685,29
OdyHy12i4PsBZkM4jjdC,13,0.5543716592448098,28
OdyHy12i4PsBZkM4jjdC,14,0.5415516915144744,27
OdyHy12i4PsBZkM4jjdC,15,0.5610792327385682,26
OdyHy12i4PsBZkM4jjdC,16,0.5632737219333649,25
OdyHy12i4PsBZkM4jjdC,17,0.5630002804100513,24
OdyHy12i4PsBZkM4jjdC,18,0.5575729258682417,23
OdyHy12i4PsBZkM4jjdC,19,0.5756445635448803,22
OdyHy12i4PsBZkM4jjdC,20,0.5352848555360522,21
P1SZ3AZnoi1oqt5EbYh5,1,0.5781901688017743,47
P1SZ3AZnoi1oqt5EbYh5,2,0.5904732009638911,46
P1SZ3AZnoi1oqt5EbYh5,3,0.5772923443052503,45
P1SZ3AZnoi1oqt5EbYh5,4,0.5845037055286494,44
P1SZ3AZnoi1oqt5EbYh5,5,0.5737930383793143,43
P1SZ3AZnoi1oqt5EbYh5,6,0.5870849305675143,42
P1SZ3AZnoi1oqt5EbYh5,7,0.5787182755586577,41
P1SZ3AZnoi1oqt5EbYh5,8,0.5739443078637123,40
P1SZ3AZnoi1oqt5EbYh5,9,0.5749356547991434,39
P1SZ3AZnoi1oqt5EbYh5,10,0.5732085124442452,38
P1SZ3AZnoi1oqt5EbYh5,11,0.5609925896734804,37
P1SZ3AZnoi1oqt5EbYh5,12,0.5685085538360808,36
P1SZ3AZnoi1oqt5EbYh5,13,0.5665359156472343,35
P1SZ3AZnoi1oqt5EbYh5,14,0.569796670885647,34
P1SZ3AZnoi1oqt5EbYh5,15,0.5563954024603872,33
P1SZ3AZnoi1oqt5EbYh5,16,0.5754848290234804,32
P1SZ3AZnoi1oqt5EbYh5,17,0.5629663428952617,31
