id,ep_s0,ep_s_final,ep_total_drop,ep_n_body_sentences,ep_mean_delta,ep_var_delta,ep_max_delta,ep_max_delta_pos,ep_frac_negative_drops,ep_slope_norm,ep_linearity_r2,ep_auc,ep_mean_delta_tail,ep_mean_delta_rest,ep_tail_share,ep_tail_ratio,ep_n_sentences_total,ep_n_target_sentences,cond
conv_deb05265bec84343b09557454f80ce9a,5.45164680480957,1.5214614868164062,3.930185317993164,32.0,0.12281829118728638,0.11286877555299846,1.2678627967834473,0.03125,0.375,1.9919552851981779,0.8649428424386325,0.6860911682775441,0.09851944446563721,0.1284257173538208,0.15040427332715697,0.7671317435137235,34.0,2.0,LLM-LLM
conv_df34362d313d4251be4aa9d372a74bc4,3.566296339035034,1.0467065572738647,2.5195897817611694,26.0,0.09690729929850651,0.07532174231260252,0.9045867919921875,0.9615384615384616,0.3076923076923077,1.8708497227562806,0.7451067104102759,0.26967043688361175,0.25241191387176515,0.05988239106677827,0.5008988282515807,4.215127508690931,28.0,2.0,LLM-LLM
conv_e55e23af1d4147fda2537d51eb56c93e,2.5742080211639404,1.9222548007965088,0.6519532203674316,11.0,0.05926847457885742,0.0036333395813285692,0.18401408195495605,0.6363636363636364,0.2727272727272727,0.5876792430877688,0.9289695113275763,0.4500732561398353,0.08466589450836182,0.053624603483412,0.259729967928206,1.5788628541477607,13.0,2.0,LLM-LLM
conv_e8cf4a02ed5d42acb9cb032eeb8564d6,5.659364223480225,2.1801724433898926,3.479191780090332,31.0,0.11223199290613975,0.06205135280488598,0.794090747833252,0.03225806451612903,0.3870967741935484,1.5976219356060017,0.7182101496838543,0.6152269874680562,0.11042956511179607,0.11266457557678222,0.1904400310619191,0.9801622608211668,33.0,2.0,LLM-LLM
conv_e9176cbc9fc84bf693d4722a41d4d02b,2.3394975662231445,1.524022102355957,0.8154754638671875,11.0,0.07413413307883522,0.006662248261717366,0.17701518535614014,0.8181818181818182,0.18181818181818182,0.6910341262817385,0.8102147846328766,0.3850935251959181,0.13706135749816895,0.0601503054300944,0.33615078214172106,2.2786477394941773,13.0,2.0,LLM-LLM
conv_e986348ecd0a4b4fa288f72d037bc63d,3.338196039199829,0.9670723676681519,2.3711236715316772,27.0,0.08781939524191397,0.045498137469556846,0.6856212615966797,0.037037037037037035,0.2962962962962963,1.053120586898301,0.7854495330120066,0.5145845015274415,0.1841855525970459,0.06591799584302035,0.38839296914038096,2.794161901336813,29.0,2.0,LLM-LLM
conv_ebe60862bf804722a847681940c8bbcd,1.6798676252365112,1.4496350288391113,0.2302325963973999,8.0,0.028779074549674988,0.0008982425807706473,0.09816288948059082,0.125,0.25,0.134688173021589,0.8730303725476827,0.5752858715051951,0.02890908718109131,0.02873573700586955,0.25112940246907445,1.0060325640921042,10.0,2.0,LLM-LLM
conv_ec61d7cb57094812b5ed7b7b55c18b32,4.443075656890869,2.4557301998138428,1.9873454570770264,33.0,0.06022258960839474,0.022445282084074255,0.8181853294372559,0.030303030303030304,0.21212121212121213,0.9085789261495366,0.8998381344447874,0.6699601199353524,0.07941361836024693,0.05505577417520376,0.2797175128974987,1.4424212455450958,35.0,2.0,LLM-LLM
conv_f125b048b3e64f3b981a17c9f76e2b23,1.8797587156295776,1.6666089296340942,0.2131497859954834,7.0,0.0304499694279262,0.0011035485076897843,0.09831511974334717,0.14285714285714285,0.14285714285714285,0.1026186943054199,0.7882863916290901,0.6426436197539032,0.040862083435058594,0.028714617093404133,0.19170595571662669,1.4230412093652742,9.0,2.0,LLM-LLM
conv_f1319a0af50d430182271474fd637f22,,,,,,,,,,,,,,,,,6.0,2.0,LLM-LLM
conv_f2ddc5e921694149b31463498101fd61,4.760709285736084,1.9841787815093994,2.7765305042266846,29.0,0.0957424311802305,0.049648479168251235,0.8775079250335693,0.034482758620689655,0.41379310344827586,1.502172817502702,0.7780114857186312,0.5495643043347355,0.16169345378875732,0.07853781658670177,0.34941475386482446,2.058797415258622,31.0,2.0,LLM-LLM
conv_fa25b39e0e4d408c9d4c4f4648a5b636,4.9329447746276855,2.005598783493042,2.9273459911346436,26.0,0.11259023042825553,0.06042187528430833,0.7278590202331543,0.19230769230769232,0.38461538461538464,1.872042993969388,0.8539690084245954,0.5904037467294934,0.17780666351318358,0.09706250826517741,0.303699432953372,1.8318778969466865,28.0,2.0,LLM-LLM
conv_facbf30cfd734550a3be5964ab1ff135,1.6999664306640625,1.401642084121704,0.2983243465423584,9.0,0.0331471496158176,0.0007765629581706153,0.07442653179168701,1.0,0.1111111111111111,0.2143810987472534,0.7998378550402343,0.41753714269324504,0.06965577602386475,0.0227161134992327,0.4669801632430592,3.0663597461871093,11.0,2.0,LLM-LLM
conv_ff5282570c5a4bfda8b8840e73065641,3.628019094467163,1.2930577993392944,2.3349612951278687,26.0,0.08980620365876418,0.027957471163482222,0.48197293281555176,0.11538461538461539,0.2692307692307692,1.4513574928707553,0.8348789638760467,0.4932614776679166,0.18362901210784913,0.06746743974231538,0.39321639397408753,2.7217427074333984,28.0,2.0,LLM-LLM
conv_006cb479-ccd3-40d1-83fb-4b614573f636,3.7100915908813477,2.4751622676849365,1.2349293231964111,21.0,0.05880615824744815,0.01186130591474328,0.33372068405151367,0.047619047619047616,0.23809523809523808,0.8886837439103554,0.9400412172052561,0.6178109202399944,0.034098148345947266,0.06461980763603659,0.11044566747411852,0.5276733186517831,23.0,2.0,H-LLM
conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968,4.165335178375244,1.490938663482666,2.674396514892578,37.0,0.0722809868889886,0.07689450556748145,1.0316777229309082,1.0,0.4864864864864865,2.427276094754538,0.8520698385257116,0.34091308704225687,0.10920487131391253,0.06366541385650634,0.28583424145992525,1.715293511796629,39.0,2.0,H-LLM
conv_07ec1a21-00a8-494b-9747-ef2f719abd5a,4.753251552581787,2.3163814544677734,2.4368700981140137,31.0,0.07860871284238753,0.028612300634886404,0.40816211700439453,0.03225806451612903,0.3548387096774194,1.255667749047279,0.7676177574331267,0.5435939420633589,0.11365822950998943,0.07019682884216309,0.27984642168153445,1.6191362399795706,33.0,2.0,H-LLM
conv_11293fd2-d757-471f-8e2e-783542167a8e,3.8160252571105957,2.2187438011169434,1.5972814559936523,16.0,0.09983009099960327,0.023271267984728894,0.530625581741333,1.0,0.125,1.2935259033651914,0.9348098284832362,0.44574900749818935,0.15512474377950033,0.08706978651193473,0.2913539311385772,1.7816139213599342,18.0,2.0,H-LLM
conv_155f7493-3058-435d-a672-40e7e8ec213a,4.613292217254639,1.048238754272461,3.5650534629821777,40.0,0.08912633657455445,0.061064385417922154,0.992206335067749,0.525,0.425,2.611671313559584,0.8882811376550407,0.4607962121506986,0.17174577713012695,0.06847147643566132,0.3853984887765719,2.5082820770121192,42.0,2.0,H-LLM
conv_18ba473d-8913-4785-95cf-9a5400887bb9,5.098250865936279,2.2032089233398438,2.8950419425964355,26.0,0.11134776702293983,0.13462478679774972,1.2486777305603027,0.8076923076923077,0.46153846153846156,1.7128602324591744,0.745911199034772,0.5130266356351343,0.05534663200378418,0.12468137059892927,0.09558865312007574,0.44390458444526826,28.0,2.0,H-LLM
conv_18be1999-da21-4ab6-8f9e-e52e6d9c8070,3.8887171745300293,2.0608060359954834,1.827911138534546,17.0,0.10752418461967916,0.037126101917865806,0.7214763164520264,0.058823529411764705,0.23529411764705882,1.2941369911034903,0.9508029602206044,0.6248143536557917,0.027821938196818035,0.12460323742457799,0.04566185567279242,0.22328423219066504,19.0,2.0,H-LLM
conv_193bbf9f-e759-475a-ae86-76613053567a,3.4715240001678467,2.058809280395508,1.4127147197723389,30.0,0.047090490659077965,0.02381493029740448,0.6645452976226807,0.03333333333333333,0.43333333333333335,0.8946200430194318,0.8128281631691956,0.7570416231038759,-0.004094759623209636,0.059886803229649864,-0.017391025516614617,-0.06837499085578719,32.0,2.0,H-LLM
conv_1a776856-1876-44eb-b0f6-31b31250ddca,4.160121917724609,3.27237606048584,0.8877458572387695,10.0,0.08877458572387695,0.010819454904835765,0.30034804344177246,0.1,0.2,0.5303250659595833,0.8757870882017694,0.5255360716706647,0.1522616147994995,0.07290282845497131,0.3430297388784029,2.0885556572547035,12.0,2.0,H-LLM
conv_1bb594f6-281e-43c0-aad7-d82e4a2ab88d,5.33705472946167,2.3755605220794678,2.961494207382202,31.0,0.09553207120587749,0.20130358471033422,1.3222332000732422,0.03225806451612903,0.3870967741935484,0.9927190512418742,0.301698215874301,0.5674504805267021,0.22685917218526205,0.06401356697082519,0.45961765845044766,3.5439233106421852,33.0,2.0,H-LLM
conv_20c3db22-5b6d-42fa-bdee-f1e1a84fe6e8,4.449472904205322,1.2430570125579834,3.206415891647339,18.0,0.17813421620262992,0.0916289038777934,0.7695012092590332,0.7222222222222222,0.3888888888888889,2.158575316331703,0.8084568950971777,0.5311305802624358,0.175237238407135,0.17896192414419992,0.21860824587805364,0.979187272628653,20.0,2.0,H-LLM
conv_23ed55f8-cc91-439f-8c8e-e24f66457596,4.920657157897949,1.9785091876983643,2.942147970199585,33.0,0.08915599909695712,0.048991215664331046,0.5266170501708984,0.15151515151515152,0.3333333333333333,2.091191329500254,0.8708650937919945,0.45727526842479577,0.13466753278459823,0.07690289387336144,0.320402895789174,1.75113738900853,35.0,2.0,H-LLM
conv_29031421-8265-472f-b4ce-f147dd80edca,5.511873245239258,2.6677916049957275,2.8440816402435303,37.0,0.07686707135793325,0.049654128293078886,0.8903007507324219,1.0,0.3783783783783784,1.4687540342933254,0.7540021940348423,0.38648670535003626,0.21528914996555873,0.04456858634948731,0.5298807279069068,4.8305133188958616,39.0,2.0,H-LLM
conv_2ce635fa-cb6c-424f-9565-859a944eed92,7.004282474517822,4.140053749084473,2.8642287254333496,24.0,0.1193428635597229,0.055575544369073526,0.6740059852600098,0.041666666666666664,0.2916666666666667,2.3506242221334706,0.8681447280344746,0.5759950628098993,0.11842737197875977,0.11958378239681847,0.20673518655679643,0.9903297052921328,26.0,2.0,H-LLM
conv_2f306db5-d066-4651-b17c-762d7f601570,4.919543266296387,1.701202154159546,3.218341112136841,24.0,0.13409754633903503,0.09584908197568283,0.9651510715484619,0.875,0.2916666666666667,1.6578182452657955,0.6058178877135759,0.47943990900803474,0.31453685760498046,0.08661351705852308,0.4886630202417255,3.631498503778042,26.0,2.0,H-LLM
conv_328804bd-df9e-47da-ad43-e4da646b9ceb,4.683386325836182,3.132023811340332,1.5513625144958496,12.0,0.1292802095413208,0.015741981947035317,0.44252920150756836,0.4166666666666667,0.08333333333333333,1.5199749119631887,0.9095098913855169,0.6610618863360036,0.007720351219177246,0.15359218120574952,0.009952994412380976,0.0502652619330615,14.0,2.0,H-LLM
conv_33502e38-922d-4e7d-a252-ab236947c3d2,4.6497673988342285,2.9770290851593018,1.6727383136749268,22.0,0.07603355971249667,0.026118209520246224,0.5394272804260254,0.9545454545454546,0.36363636363636365,1.195729066126095,0.8467278000523599,0.43113864800169033,0.17519909143447876,0.05399677488538954,0.41895158376464675,3.24462140204385,24.0,2.0,H-LLM
